job_name,job_request,position_label,job_advantage,description,work_addr,comp_name,comp_domain,comp_stage,comp_scale,comp_invest,lagou_comp_page,comp_index_page,lg_url
数据挖掘（实习／校招）,3k-6k /北京 / 经验不限 / 本科及以上 / 全职,广告营销<p>算法<p>数据挖掘<p>机器学习<p>深度学习<p>大数据,大牛导师，技术氛围好，海量数据，飞速发展,职位描述：<p>职位职责： <p>1、通过海量数据挖掘、机器学习等方法，构建用户画像、个性化推荐、预测、 风险控制等系统；<p>2、参与数据挖掘项目的设计、实现、算法调研、优化；<p>3、用户分析、理解及建模，持续提升用户产品体验；<p>4、调研并促进数据挖掘在公司多个业务领域的应用；<p><p><p>职位要求： <p>1、热爱计算机科学和互联网技术，对人工智能类产品有浓厚兴趣； <p>2、具备强悍的编码能力，熟悉 linux 开发环境，熟悉 C++ 和 Python 语言优先； <p>3、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情 <p>4、有扎实的数据结构和算法功底，熟悉机器学习、自然语言处理、数据挖掘中一项或多项； <p>5、对推荐系统、计算广告、搜索引擎相关技术有经验者优先； <p><p><p>公司福利待遇：<p>有竞争力的薪酬<p>期权奖励<p>五险一金+商业保险<p>午餐+晚餐补助<p>交通+通讯+电脑补贴<p>结婚+生育+丧葬+住院礼金<p>伯乐奖金<p>年假8天起+带薪病假<p>年度体检、零食畅享、团队建设、生日会、弹性办公<p>  数美领先的大数据技术、产品与服务提供商<p>我们正在经历一个IT到DT的变革时代。大数据已经渗透到各个环节，各个角落。<p>这个世界，就是掩藏在表象之下，被数据所揭示的世界！<p>数美依托积累的海量数据、科技前沿技术， 极致的工匠精神和对数据的深度理解，提供领先的大数据产品与服务。 <p>我们正在寻找不平凡的你，和我们一起“发现数据之美”<p>欢迎投递简历<p><p>【关于数美】www.ishumei.com<p>数美（全称北京数美时代科技有限公司）成立于2015年6月，是一家专业的大数据科技公司。数美依托先进的核心AI技术和海量的数据基础，致力于解决多场景欺诈问题，为客户提供专业、可信赖的服务。团队均来自百度、阿里、腾讯、360、小米等顶尖互联网公司，在大数据、人工智能、机器学习、金融风控等领域有着丰富的实践经验。目前，业务已覆盖金融、支付、直播、社交、电商、O2O等为代表的多个行业领域，其中包括中信银行、用钱宝、人人贷、51信用卡、360、小米、58同城、爱奇艺、熊猫直播、花椒、唱吧等知名企业，截止到2017年6月，服务客户突破1000家。作为大数据反欺诈专业品牌，数美将持续挖掘数据价值，为金融机构、互联网企业提供智能、创新的一站式反欺诈综合解决方案<p><p>…………………………………………………………………………<p>了解更多<p>数美公司介绍<p>https://www.ishumei.com/aboutUs/introduction.html<p>数美团队介绍<p>https://www.ishumei.com/aboutUs/team.html<p>数美产品介绍 <p>https://www.ishumei.com/product/creditFengkong.html<p>数美解决方案介绍 <p>https://www.ishumei.com/solution/finance.html,北京 - 朝阳区 - 望京 - 望京诚盈中心,数美,企业服务，数据服务,B轮,150-500人,数美科技获1000万美元A轮融资，顺为资本、清流资本、百度风投、360投资(A轮),https://www.lagou.com/gongsi/82991.html,http://www.ishumei.com/,https://www.lagou.com/jobs/4046375.html
数据挖掘工程师,15k-30k /北京 / 经验3-5年 / 本科及以上 / 全职,hadoop<p>数据挖掘<p>大数据<p>数据仓库,16薪，出国游，各种补助，年底奖金,职位描述：<p>任职要求<p>1、  有3年以上大数据体系ETL系统经验，搭建过自有数据清洗平台，熟悉相关开发、调度、和维护工作，实现可配置化和工作流管理，和大数据其他系统融合方便，并且数据清洗量级每天在TB级别以上<p>2、  精通至少一种ETL工具，比如kettle、talend等<p>3、精通sql，至少熟练Oracle、MySQL、SQL Server其中一项数据库开发与运维工作<p>4、熟悉常用的非关系行数据库，redis、hbase、tail等<p>5、有大数据开发经验，熟悉nosql，hadoop，hive，spark优先考虑<p>6、搭建或者维护数据仓库，有相关优化经验优先<p>7、熟悉java或者py其中一种开发语言<p>8、有相关spark etl经验优先,北京 - 海淀区 - 西小口路66号东升科技园B6号楼A座8层,鼎阅,移动互联网,不需要融资,50-150人,,https://www.lagou.com/gongsi/170348.html,http://www.qingoo.cn/,https://www.lagou.com/jobs/4056953.html
数据挖掘工程师（自然语言...,20k-40k /北京 / 经验3-5年 / 学历不限 / 全职,高级<p>NLP<p>算法<p>语音处理<p>数据挖掘<p>自然语言处理,绩效奖金，七险一金，带薪假期，弹性工作,职位描述：<p>工作职责:<p>1. 参与中文分词、新词发现、词性标注、文本分类聚类、知识库建设等研发工作<p>2. 参与情感分析、信息抽取、事件识别等工作<p>  职责要求:<p>1. 熟悉C/C++/JAVA/python/linux<p>2. 熟悉NLP领域的主流算法，比如：分词算法，聚类分类算法，信息抽取算法等<p>3. 熟悉NLP领域开源的算法库或工具，比如：rnnlm，maxent，word2vec等<p>4. 熟悉基本机器学习算法<p>5. 了解神经网络和深度学习的基本算法<p>6. 对自然语言处理、人工智能等具有浓厚的兴趣<p>7. 良好的团队合作精神，较强的沟通能力,北京 - 朝阳区 - 望京 - 来广营朝来科技产业园18号院18号楼,凤凰金融,金融,A轮,150-500人,,https://www.lagou.com/gongsi/41483.html,http://www.fengjr.com/,https://www.lagou.com/jobs/2853421.html
图像数据挖掘工程师（美颜...,16k-32k /北京 / 经验不限 / 本科及以上 / 全职,算法<p>数据挖掘<p>机器学习<p>深度学习<p>视频,海量数据，技术氛围好，上升空间大,职位描述：<p>部门介绍：<p>1.      高速发展的美图公司（产品包括美图秀秀，美拍，美图手机等）在全球拥有超过10亿用户，以技术创新切实改变了人们的生活方式。<p>2.      美图影像实验室（MTlab， http://mtlab.meitu.com/）是美图最核心的算法研究部门，成立于2010年，致力于计算机视觉和深度学习技术。<p>3.      这里有业界顶尖的团队，海量数据资源，GPU训练集群，最前沿最有趣的研究课题。这里尊重个性，给你广阔的发展空间！<p> <p>工作职责：<p>图像视频数据挖掘相关工作，发现用户行为模式与规律，驱动图像算法研发<p>利用已有图像识别算法，分析和查找用户的特性，挖掘并分类用户群<p>对用户群进行分析，找出族群特点和潜在需求，为新算法开发提供支持<p>任职资格：<p>本科及以上学历，2年以上数据挖掘/数据分析/机器学习相关经验<p>熟练掌握C/C++， JAVA， Python， Shell，Golang，PHP中的一种或多种语言<p>熟悉图像视频数据的挖掘流程，理解常见机器学习或数据挖掘的算法原理<p>能够独立进行挖掘模型设计和开发，对解决具有挑战性问题充满激情<p>有搜索、推荐算法、用户画像、计算机视觉等研发经验者优先,北京 - 海淀区 - 五道口 - 优盛大厦D座19层,美图公司,移动互联网，硬件,上市公司,500-2000人,,https://www.lagou.com/gongsi/23291.html,http://hr.meitu.com/,https://www.lagou.com/jobs/4074586.html
数据/数据挖掘工程师,20k-40k /北京 / 经验3-5年 / 本科及以上 / 全职,NLP<p>hadoop<p>数据挖掘<p>机器学习<p>Java,大牛云集，明星团队,职位描述：<p>岗位职责：<p>1、负责小爱数据平台的建设，接入和管理小爱各业务数据，进行数据采集、抽取、整合、提取和数据可视化等工作；<p>2、负责小爱领域知识库建设；<p>3、负责大数据的分析和挖掘，为产品决策提供数据的支持和建议，帮助产品进行优化改进；<p>岗位要求：<p>1、计算机或相关专业，本科及以上学历，3年以上Java开发经验，学习能力突出；<p>2、熟悉hadoop生态系统常见项目的使用（hdfs、hive、hbase、spark等），具有spark开发经验，有实际大数据项目优先；<p>3、精通Java，Scala，熟悉Linux下操作；<p>4、有机器学习，自然语言处理、知识图谱等经验者优先；<p>5、具有良好的分析问题和解决问题的能力，对大数据工作充满热情。,北京 - 海淀区 - - 清河,小米,移动互联网,D轮及以上,2000人以上,,https://www.lagou.com/gongsi/520.html,http://www.mi.com/,https://www.lagou.com/jobs/4171197.html
推荐算法/机器学习/数据挖...,25k-50k /北京 / 经验3-5年 / 本科及以上 / 全职,数据<p>算法<p>数据挖掘,团队分享、部门旅游、晋升空间、奖金丰厚,职位描述：<p>岗位职责：<p>1. 负责网易门户推荐系统、智能匹配等业务的建设<p>2. 负责海量内容和用户数据的分析和挖掘、建模，快速迭代算法，提升算法效果<p>3. 参与搭建和实现大规模机器学习排序模型，自然语言处理模型等<p>4. 参与建立公司级的用户画像体系，为数据分析、算法推荐提供支持<p><p>职位要求：<p>1. 两年以上相关领域工作经验<p>2. 扎实的操作系统，数据结构及算法基础<p>3. 熟悉C++、java等主流开发语言，熟悉shell or python等脚本语言<p>4. 掌握常用机器学习、自然语言、最优化算法。具备扎实的概率统计基础，有较深理论功底和相关实践经验者优先。<p>5. 具备良好的分析和解决问题的能力，具备一定的钻研精神和持续学习的意愿，强烈的责任感和团队感，对负有挑战性的工作充满热情,- 西北旺东路10号院 中关村软件园二期西区7号 网易(北京)公司,网易,电子商务，移动互联网,上市公司,2000人以上,,https://www.lagou.com/gongsi/329.html,http://hr.163.com/,https://www.lagou.com/jobs/2113031.html
搜狗输入法-资深数据挖掘...,35k-55k /北京 / 经验5-10年 / 硕士及以上 / 全职,社交<p>专家<p>数据挖掘<p>大数据<p>数据分析,亿万数据挖掘，助理搜狗实现大数据战略,职位描述：<p>项目介绍<p>国内第二大互联网产品，输入法行业的绝对领先者。我们一方面不断优化用户表达和获取信息路径上的体验；另一方面持续探索未来用户在输入形式上的各种可能性，继续引领移动互联时代的输入方式；追求极致，致力于给用户提供更炫酷、便捷的输入体验，让输入玩出新花样，欢迎加入这个团队，与我们创造更多可能们的团队<p>岗位职责<p>【职位诱惑】帮助搜狗在实现大数据战略，在数据分析，数据挖掘，用户画像方面技术进步，使其能作用于营销广告，内容型推荐型，金融风控型产品等，欢迎有能力的同仁来帮助搜狗一起建设大数据团队。<p>【岗位职责】<p>1、指导业务优化发展。通过机器学习及大数据相关技术，利用海量数据进行建模，挖掘潜在商业价值；<p>2、刻画用户画像，帮助公司战略升级。通过数据挖掘实现用户画像体系。包括社交关系，个性推荐，风险控制等；<p>3、能根据行业现状制定符合公司现状的数据挖掘整体规划。<p>任职条件<p>1、本科以上学历，计算机、数学、统计学相关专业；<p>2、数据挖掘、分析领域3年以上工作经验；<p>3、有商业分析经验和数据分析能力，具备较强的商业和数据敏感度，有良好的理解能力，沟通表达能力和独立专业报告的能力；<p>4、精通常见机器学习算法（如逻辑回归、SVM、神经网络、决策树、贝叶斯等），有实际建模和调参经验；<p>5、精通至少一门编程语言，例如JAVA/python/R/SPSS/SAS等；<p>6、熟悉Map-Reduce，有Hadoop、Spark、Storm等大规模数据存储与运算平台的实践经验；,北京 - 海淀区 - 五道口 - 中关村东路一号院清华科技园搜狐网络大厦,搜狗,移动互联网，数据服务,C轮,2000人以上,,https://www.lagou.com/gongsi/1537.html,http://www.sogou.com/,https://www.lagou.com/jobs/4019667.html
餐饮生态数据挖掘资深工程师,18k-35k /北京 / 经验3-5年 / 本科及以上 / 全职,资深<p>高级<p>中级<p>数据挖掘<p>大数据<p>机器学习,重要业务，成长空间大,职位描述：<p>【工作职责】<p>1、对接餐饮生态收银业务需求，挖掘数据价值，驱动业务成长<p>2、基于海量数据，运用数据挖掘/机器学习的理论和方法，以实际业务应用为导向，产生应用价值<p>3、深刻理解数据本质，不断完善和优化算法，进行核心策略的研究及开发<p><p>【职位要求】<p>1、熟悉常用机器学习和数据挖掘算法，对算法的优缺点及适用场景有自己的见解<p>2、熟悉Linux工作环境，熟悉Java开发，熟悉 Python/Shell等脚本语言<p>3、熟悉Hadoop/Spark/Storm/Hive等分布式计算技术，具有海量数据处理经验<p>4、较强的业务理解和分析能力，具备利用算法解决复杂商业问题的能力<p>5、踏实、好学，较强的沟通能力，良好的团队协作精神,北京 - 朝阳区 - 望京 - 北京市朝阳区望京东路4号恒基伟业C座（美团点评北京总部）,美团点评,移动互联网，O2O,D轮及以上,2000人以上,,https://www.lagou.com/gongsi/50702.html,http://www.meituan.com/,https://www.lagou.com/jobs/3747809.html
风控反欺诈数据挖掘&...,15K-30K /北京 / 经验3-5年 / 本科及以上 / 全职,C/C++<p>数据挖掘<p>机器学习,BAT,职位描述：<p>岗位职责：<p>-针对海量用户行为和内容信息建模，构建和优化用户金融属性画像，构建风控模型，降低金融风险<p>-基于用户行为分析、建模和数据挖掘，建立金融风控反欺诈体系，防止团伙欺诈、个人冒用、伪装的情况<p>-结合业务具体问题，研究数据挖掘或统计学习领域的前沿技术，提出解决方案<p>  职位要求：<p>-熟悉C\C++，PYTHON等至少一门常用语言，对数据结构和算法设计有较为深刻的理解<p>-熟悉图计算、Spark/Graphx优先<p>-熟悉大规模数据挖掘、机器学习、自然语言处理、分布式计算等相关技术，并具备3年以上相关工作经验<p>-具有统计或数据挖掘背景，并对机器学习算法和理论有较深入的研究优先；有大规模数据挖掘经验者优先；在反作弊、反欺诈&风控等方面有工作经验者优先<p>-对数据敏感，具备良好的逻辑思维能力、沟通技巧、组织沟通能力、团队精神以及优秀的问题解决能力<p> ,北京 - 海淀区 - 西北旺 - 百度科技园,百度,移动互联网，数据服务,不需要融资,2000人以上,,https://www.lagou.com/gongsi/1575.html,http://talent.baidu.com/external/baidu/index.html,https://www.lagou.com/jobs/3946235.html
地图内容生态部_数据挖掘...,15k-25k /北京 / 经验1-3年 / 本科及以上 / 全职,图像处理<p>数据挖掘<p>机器学习<p>深度学习<p>大数据<p>地图,上市公司，绩效加薪，发展空间大，免费班车,职位描述：<p>工作职责<p>-POI数据处理策略的设计与研发<p>-根据实际需求和问题，应用先进的统计建模、数据挖掘、机器学习方法建立数据模型解决实际问题，设计和评估数据挖掘方案<p>-探索和利用先进的图像处理技术，建设规模化的数据处理能力<p>任职资格<p>-统计学、计算机科学、数学或相关专业硕士及以上学历<p>-具备独立发现、分析、抽象、解决问题的能力<p>-具有丰富的数据建模、数据挖掘、运筹学、文本挖掘等相关经验，精通其中一两个领域<p>-熟练大数据框架（Hadoop、Spark/Storm、hdfs）等，至少熟悉一种脚本语言（shell/python等）<p>-熟悉数据库、数据仓库、有海量数据处理经验 -熟悉图像OCR算法优先,北京 - 海淀区 - 百度奎科科技大厦,百度,移动互联网，数据服务,不需要融资,2000人以上,,https://www.lagou.com/gongsi/1575.html,http://talent.baidu.com/external/baidu/index.html,https://www.lagou.com/jobs/3803907.html
集团总部-大数据中心-数据...,25k-40k /北京 / 经验3-5年 / 本科及以上 / 全职,数据挖掘,15天年假，弹性工作时间，发展空间大,职位描述：<p>岗位职责:<p>1.应用数据挖掘/机器学习等技术，对海量用户行为和内容信息挖掘建模。解决用户画像和内容画像相关问题；<p>2.基于PB以上级别的数据，深度分析数据特征，挖掘数据价值；<p>3.应对PB以上级别数据的交互式查询、计算、存储；<p>4.基于埋点数据和客户等数据，深度分析数据中的规律，挖掘数据价值。<p>任职资格:<p>1.良好的逻辑思维能力，能够从海量数据中发现有价值的规律；<p>2.熟悉linux平台，熟练掌握Python/java等至少一种语言，对数据结构和算法设计有较为深刻的理解；<p>3.熟悉数据挖掘、机器学习、自然语言处理、文本理解等相关技术；<p>4.有大规模用户行为数据和内容数据挖掘分析经验者优先；<p>5.熟悉Hadoop/Spark/HBase/Redis等大数据平台开源产品的原理与使用；<p>6.具备良好的沟通能力和团队合作精神；<p>7.优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情。,北京市 - 海淀区 - 中关村 - 北京市海淀区科学院南路2号院融科资讯中心3号楼搜狐媒体大厦,搜狐集团,移动互联网，广告营销,上市公司,2000人以上,,https://www.lagou.com/gongsi/106303.html,http://www.sohu.com/,https://www.lagou.com/jobs/3552647.html
高级数据挖掘专家-P8-阿里...,25k-50k /北京 / 经验3-5年 / 本科及以上 / 全职,算法<p>图计算<p>数据挖掘<p>机器学习<p>深度学习<p>安全,顶尖的团队，大牛云集，成长学习快，核心事业部,职位描述：<p>工作职责：1、结合深度学习和传统机器学习的技术，从多个维度去建立不同主体的360度属性行为画像；  2、利用时间序列模型和预测模型等实时分析用户和机器的行为，从海量数据中挖掘异常行为点；  3、利用大规模图计算(Spark GraphX， GraphLab)的能力，关联不同的风险行为事件，构建风险网络；  4. 选择合适的大数据存储检索引擎（Hbase， 图数据库等）搭建数据服务，以数据产品的形式为安全专家分析决策提供支持； <p>任职资格：1、硕士及以上学历，数学、统计学或计算机等理科教育背景；  2、有7年以上数据挖掘和机器学习相关的实战经验；  3、有安全相关经验者优先；  4， 有图计算，深度学习相关经验者优先；  5、良好的沟通和学习能力，能够快速掌握工作所需技能,北京 - 朝阳区 - 望京 - 望京绿地中心,蚂蚁金服集团,金融，移动互联网,B轮,2000人以上,,https://www.lagou.com/gongsi/153849.html,https://www.antfin.com/,https://www.lagou.com/jobs/3507966.html
展示广告产品技术部_数据...,15k-30k /北京 / 经验3-5年 / 本科及以上 / 全职,算法<p>数据挖掘<p>大数据,待遇好，知名公司,职位描述：<p>工作职责<p>-负责百度商业数据实时挖掘技术研究和平台开发 <p>-海量数据实时挖掘，实时提供数据给商业用户和系统，协助研究网站信息、用户行为、商业广告的特点和规律 <p>-设计策略和算法，分析系统的技术缺陷，对数据挖掘框架做出合理地调整或改进<p>任职资格<p>-精通C/C++语言编程，熟悉linux平台、shell，python编程 <p>-精通互联网广告的基础知识与理论，对推荐算法和广告算法、CTR预估、触发、和匹配算法有深入的理解 <p>-熟悉分类、聚类、特征筛选及降维等常用数据挖掘技术，熟悉常见机器学习和推荐算法 <p>-商业数据相关领域如信息挖掘/统计分析工作经验、多语言研发经验优先 <p>-实时数据平台开发和实时平台上特征抽取经验优先 <p>-有大型互联网广告算法背景者优先 ,北京 - 海淀区 - 西北旺 - 百度科技园,百度,移动互联网，数据服务,不需要融资,2000人以上,,https://www.lagou.com/gongsi/1575.html,http://talent.baidu.com/external/baidu/index.html,https://www.lagou.com/jobs/3615239.html
python开发工程师(数据挖...,18k-36k /北京 / 经验1-3年 / 本科及以上 / 全职,Python<p>信息安全,完善的福利，竞争力薪酬，技术氛围好，上升空间大,职位描述：<p>职位描述：<p>1、负责安全数据分析平台的设计与开发，包括数据采集与清洗、数据仓库建设、建模与跟踪等等，驱动安全运营的数据化；<p>2、深度挖掘安全事件，为安全工作发展方向提供数据支撑。<p><p>岗位要求：<p>1、本科以上学历， 1年以上python后端研发经验，精通python， 高级需熟悉numpy、Scikit-Learn、gevent；<p>2、熟悉redis、mongo 或其他NoSQL；<p>3、有良好的逻辑分析能力和学习能力；<p>4、具备安全分析项目或了解安全攻防技术者优先。,北京 - 朝阳区 - 望京 - 望京阜通东大街1号望京soho，塔2，B座20层,陌陌,社交网络,上市公司,500-2000人,,https://www.lagou.com/gongsi/129.html,http://www.immomo.com/,https://www.lagou.com/jobs/3978119.html
机器学习/数据挖掘工程师,20k-35k /北京 / 经验1-3年 / 本科及以上 / 全职,广告营销<p>C/C++<p>算法<p>机器学习<p>数据挖掘,公司氛围好，五险一金，健身房，下午茶,职位描述：<p>【工作职责】<p>-负责百度凤巢的算法改进 <p>-基于大规模用户行为，以效果为目标，建立并优化推荐系统的基础算法和策略 <p>-应用机器学习等尖端技术，针对海量信息建模，挖掘潜在商业价值 <p>-负责在线广告投放系统的核心技术创新与优化 <p>-提高在线广告的相关度、用户体验、投放效果及变现能力<p>【任职资格】<p>-计算机或相关专业硕士以上学历 <p>-良好的逻辑思维能力，和数据敏感度，能能够从海量数据中发现有价值的规律 <p>-优秀的分析和解决问题的能力，对挑战性问题充满激情 <p>-良好的团队合作精神，较强的沟通能力 <p>-良好的技术领导能力，有能力开辟一个技术方向，带动和引导一个技术方向的规划、研发 <p>-熟悉C/C++语言编程，对数据结构和算法设计有较为深刻的理解 <p>具备以下能力之一： <p>-熟悉大规模数据挖掘、机器学习、分布式计算等相关技术，并具备多年的实际工作经验 <p>-具备大规模推荐系统的研发经验(推荐算法设计和实现/推荐系统评估方法研究) <p>-具备自然语言处理、信息过滤、主题提取、分类聚类、个性化用户建模、文本挖掘等相关领域知识 <p>-具备机器学习理论、算法的研究和实践经验 <p>-具备分布式相关项目研发经验（如分布式存储/分布式计算/高性能并行计算/分布式cache等） <p>-具备搜索引擎、广告投放、反作弊相关技术的知识和经验,北京 - 海淀区 - 西北旺 - 百度科技园,百度,移动互联网，数据服务,不需要融资,2000人以上,,https://www.lagou.com/gongsi/1575.html,http://talent.baidu.com/external/baidu/index.html,https://www.lagou.com/jobs/4071058.html
数据挖掘工程师（商业产品部）,20k-40k /北京 / 经验不限 / 学历不限 / 全职,数据挖掘,期权,职位描述：<p>工作职责：<p>1、在这里，你可以学习和掌握小米公司最先进的大数据处理平台，涉及机器学习、深度学习、数据挖掘、统计和运筹学等一系列的专业领域<p>2、在这里，你将拥有最好的数据和实验环境，立足于智能硬件几亿用户和数百亿的数据，与这些领域内的顶尖大牛工程师们一起参与目前最前沿的预估和预测等大数据应用场景的算法设计<p>任职要求：<p>1、本科以上学历，扎实的统计学、数据挖掘、机器学习理论基础，能够利用高等数学知识推演高维数学模型<p>2、熟悉聚类、分类、回归、图模型等机器学习算法，对常见的核心算法理解透彻，有实际建模经验<p>3、具有扎实的计算机操作系统、数据结构等编程基础，精通至少一门编程语言例如Java/C++/Python/R<p>4、深入理解Map-Reduce模型，对Hadoop、Spark、Storm等大规模数据存储与运算平台有实践经验<p>5、对于信息检索、推荐系统和广告系统有实践经验者优先<p>6、能够积极创新， 乐于面对挑战， 负责敬业<p>7、优秀的团队合作精神，诚实，勤奋，严谨,北京 - 海淀区 - 清河 - 清河中街68号华润五彩城,小米,移动互联网,D轮及以上,2000人以上,,https://www.lagou.com/gongsi/520.html,http://www.mi.com/,https://www.lagou.com/jobs/3866021.html
数据分析/数据挖掘(需要出差）,15k-30k /北京 / 经验3-5年 / 本科及以上 / 全职,大数据<p>数据分析<p>数据挖掘,上市公司 大数据,职位描述：<p><p>岗位职责<p><p>1.负责前期需求调研分析，并转化为详细具体的实施方案，完成与客户的交流和沟通；<p>2.基于业务理解，完成不同业务场景的数据分析和数据挖掘，并完成报告编写；<p>3.深入研究模型标准化、模型可视化、模型封装、模型管理等技术和实现；<p>4.跟进业界前沿的相关数据挖掘、机器学习技术，将其应用到项目中；<p><p><p><p>岗位要求<p><p>1.大学本科以上学历，计算机、应用数学、统计学等相关专业，硕士优先；<p>2.熟练使用SQL语言，有HIVE经验优先，有海量数据分析经验者优先；<p>3.熟悉常用数据挖掘算法，如决策树、聚类、逻辑回归、关联分析、SVM，神经网络等，有一年以上实际数据挖掘项目经验，有电信行业、工业大数据、公共安全领域等实际经验优先；<p>4.熟练使用至少一种数据挖掘工具SAS、SPSS等，熟悉了解至少一门脚本语言，如R、Python等；<p>5.能熟练使用Excel、PPT等Office办公软件完成专业数据分析报告；<p>6.对数据和业务敏感，具有较强的逻辑分析能力和系统思维能力，有创新和探索精神；<p>7.可以出差；,北京 - 朝阳区 - 望京 - 来广营创达三路东方国信大厦,东方国信,数据服务,上市公司,2000人以上,,https://www.lagou.com/gongsi/16875.html,http://www.bonc.com.cn/,https://www.lagou.com/jobs/3906658.html
数据挖掘工程师,25k-35k /北京 / 经验1-3年 / 本科及以上 / 全职,中级<p>金融<p>算法<p>大数据<p>数据挖掘,六险一金，数据驱动，敏捷开发，行业风口,职位描述：<p><p>职责描述：<p>1. 负责针对金融或者互联网金融等行业设计并开发各类大数据风控模型或用户模型；<p>2. 探索并分析各类数据源，结合具体业务场景，挖掘用户行为特点，设计大数据方案。<p>3. 结合客户需求及模型实际应用效果，不断优化模型算法，提升大数据能力。<p><p>任职要求：<p>1. 本科及以上学历，统计学、数学、计算机、电子工程等相关专业。<p>2. 三年以上金融/互联网金融领域标杆企业的模型开发经验；<p>3. 熟悉各类机器学习算法（逻辑回归、决策树、SVM、神经网络等），并至少对一种算法有深入理解。<p>4. 具有扎实的编程基础，熟悉主流的数据结构算法，能熟练运用Python、R等工具进行数据分析和模型建模。<p>5. 熟练掌握SQL/Hive，熟悉Hadoop/Spark，拥有海量数据处理经验者优先。<p>6. 优秀的团队合作精神和沟通表达能力，学习能力强，勤于思考，乐于面对挑战。<p>非常具有想象力的一项事业、金融和互联网的结合产品 ,北京 - 东城区 - 东四 - 银河SOHO D2座 17层,凡普金科,金融,不需要融资,2000人以上,高榕资本(A轮),https://www.lagou.com/gongsi/2422.html,http://www.finupgroup.com/,https://www.lagou.com/jobs/3566886.html
数据挖掘算法工程师-大数...,25k-50k /北京 / 经验3-5年 / 本科及以上 / 全职,数据挖掘,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，过亿用户,职位描述：<p>职位职责：<p>1、负责头条核心指标的数据建设、指标分析和用户理解；<p>2、 负责头条核心数据的应用场景发现、算法模型研究，并指导业务发展；<p>3、在超大规模数据集中，发现隐藏的规律。<p><p>职位要求：<p>1、良好的沟通和逻辑思维能力；<p>2、熟悉和使用常用的数据分析框架、大数据运算架构和算法；<p>3、在复杂业务场景中发现和解决问题的能力，具备相关业务经验优先。,北京 - 海淀区 - 北京市海淀区北三环西路43号中航广场,今日头条,移动互联网，数据服务,C轮,500-2000人,,https://www.lagou.com/gongsi/62.html,http://www.bytedance.com/,https://www.lagou.com/jobs/4143589.html
数据挖掘工程师——机器视觉,20k-40k /北京 / 经验3-5年 / 本科及以上 / 全职,专家<p>图像处理<p>模式识别<p>视觉,发展空间,职位描述：<p>岗位职责：<p>  1、负责计算机视觉、深度学习相关的AI产品的研发工作；<p>2、参与图片识别、活体识别、人脸识别等项目开发工作；<p>3、负责图片、影像的预处理开发，包括截图、去噪、二值化等；<p>4、负责机器视觉识别项目的商业化落地和算法优化；<p>    工作要求：<p>  1、模式识别、计算机等相关专业，硕士及以上学历；<p>2、具备扎实的图像处理、模式识别、机器学习、机器视觉等理论功底；<p>3、熟练使用C/C++、Java、Python其中一种开发语言<p>4、熟悉OpenCV/Caffe/TensorFlow者优先<p>5、具有相关工作3年以上经验者优先,北京 - 朝阳区 - 望京 - 北京启阳路金辉大厦28层,马上金融,金融，移动互联网,不需要融资,2000人以上,,https://www.lagou.com/gongsi/136443.html,http://www.msxf.com/,https://www.lagou.com/jobs/3958707.html
数据挖掘工程师,25k-45k /北京 / 经验不限 / 本科及以上 / 全职,中级<p>数据挖掘<p>NLP,金融科技，上市集团，10天年假，周末双休,职位描述：<p>【岗位职责】<p>1、负责新闻个性化推荐系统设计和开发，并且基于用户行为数据，持续优化推荐引擎;<p>2、负责大规模文本数据库处理，包括分词，特征值提取，相关性分类等;<p>3、负责用户标签挖掘与画像体系构建。<p>【任职要求】<p>1、计算机、数学或相关专业本科或以上学历;<p>2、有推荐，NLP，文本挖掘等方向2年以上的研究或者工作经验<p>3、熟悉中文分词标注、文本分类、知识库挖掘等NLP相关算法;<p>4、熟悉Linux开发环境， 精通python，尤其需要熟悉gensim、scikit-learn等python相关nlp库;<p>5、 高度的责任感，善于在工作中学习，能够承受工作压力;<p>6、 优秀的沟通协调能力、项目管理能力，良好的团队合作精神;<p>7、有金融行业或者BAT工作经验优先考虑。<p>【职位诱惑】<p>1、投身海外金融市场的行业蓝海<p>2、扁平化的管理氛围<p>3、雄厚的研发实力<p>4、与来自中投、外管局、高盛、道富、BAT等行业精英并肩作战<p>5、极具竞争力的薪酬--工资+年终奖<p>6、社会保险及补充医疗--全额缴纳五险一金+补充医疗保险<p>7、依法享有国家法律/法规规定的有薪假期，年假10天起步,北京 - 朝阳区 - 朝外 - 望京soho塔3-B-3203,北京云锋投资,移动互联网，金融,上市公司,150-500人,,https://www.lagou.com/gongsi/123562.html,http://www.lagou.com/gongsi/123562.html,https://www.lagou.com/jobs/3987985.html
